"id"	"name"	"country"	"compatibility"	"category"	"updated_date"	"size"	"seller"	"rated"	"requirements"	"bundleid"	"average_current"	"total_current"	"average_all"	"total_all"	"current1"	"current2"	"current3"	"current4"	"current5"	"all1"	"all2"	"all3"	"all4"	"all5"	"fullrank_id"	"created_at"	"updated_at"
1	"Facebook Messenger"	"United States"	" Universal"	" Social Networking"	" Mar 31, 2015"	" 68.5 MB"	" Facebook, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.facebook.Messenger"	"3.2"	"314"	"3.1"	"280,660"	"(137)"	"(30)"	"(16)"	"(11)"	"(120)"	"(111,606)"	"(36,323)"	"(13,762)"	"(8,234)"	"(110,735)"	1	"2015-04-01 12:41:12.438893"	"2015-04-01 12:41:12.438893"
2	"Facebook"	"United States"	" Universal"	" Social Networking"	" Mar 31, 2015"	" 47.5 MB"	" Facebook, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.facebook.Facebook"	"3.2"	"1,319"	"3.7"	"2,876,614"	"(506)"	"(167)"	"(112)"	"(99)"	"(435)"	"(1,492,968)"	"(389,178)"	"(254,715)"	"(173,379)"	"(566,374)"	4	"2015-04-01 12:41:24.397511"	"2015-04-01 12:41:24.397511"
3	"Instagram"	"United States"	" iPhone, iPod touch"	" Photo and Video"	" Mar 26, 2015"	" 10.1 MB"	" Instagram, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.burbn.instagram"	"4.4"	"7,297"	"4.6"	"1,841,142"	"(5,284)"	"(961)"	"(391)"	"(200)"	"(461)"	"(1,441,233)"	"(231,289)"	"(62,740)"	"(31,229)"	"(74,651)"	7	"2015-04-01 12:41:36.367467"	"2015-04-01 12:41:36.367467"
4	"YouTube"	"United States"	" Universal"	" Photo and Video"	" Mar 30, 2015"	" 32.0 MB"	" Google, Inc."	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.google.ios.youtube"	"2.6"	"1,003"	"2.6"	"150,085"	"(277)"	"(53)"	"(105)"	"(122)"	"(446)"	"(36,736)"	"(12,618)"	"(15,890)"	"(19,065)"	"(65,776)"	10	"2015-04-01 12:41:47.996116"	"2015-04-01 12:41:47.996116"
5	"Snapchat"	"United States"	" iPhone, iPod touch"	" Photo and Video"	" Mar 31, 2015"	" 23.8 MB"	" Snapchat, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.toyopagroup.picaboo"	"2.7"	"482"	"2.6"	"144,038"	"(120)"	"(54)"	"(55)"	"(55)"	"(198)"	"(31,292)"	"(17,477)"	"(19,253)"	"(16,967)"	"(59,049)"	13	"2015-04-01 12:42:00.037075"	"2015-04-01 12:42:00.037075"
6	"Pandora Radio"	"United States"	" Universal"	" Music"	" Mar 26, 2015"	" 58.8 MB"	" Pandora Media, Inc."	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.pandora"	"4.7"	"24,132"	"3.9"	"955,630"	"(20,136)"	"(2,769)"	"(511)"	"(279)"	"(437)"	"(544,732)"	"(125,790)"	"(84,867)"	"(52,270)"	"(147,971)"	16	"2015-04-01 12:42:11.957196"	"2015-04-01 12:42:11.957196"
7	"Fast & Furious: Legacy"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 405.1 MB"	" Kabam Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.kabam.ff7"	"4.7"	"4,400"	"4.7"	"4,400"	"(3,655)"	"(394)"	"(105)"	"(78)"	"(168)"	"(3,655)"	"(394)"	"(105)"	"(78)"	"(168)"	19	"2015-04-01 12:42:23.772386"	"2015-04-01 12:42:23.772386"
8	"Google Maps"	"United States"	" Universal"	" Navigation"	" Mar 19, 2015"	" 25.7 MB"	" Google, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.google.Maps"	"4.6"	"1,004"	"4.5"	"109,289"	"(758)"	"(152)"	"(33)"	"(19)"	"(42)"	"(82,887)"	"(13,861)"	"(4,306)"	"(2,941)"	"(5,294)"	22	"2015-04-01 12:42:36.200368"	"2015-04-01 12:42:36.200368"
9	"iMovie"	"United States"	" Universal"	" Photo and Video"	" Mar 26, 2015"	" 613.3 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.iMovie"	"3.6"	"2,695"	"3.6"	"22,053"	"(1,210)"	"(464)"	"(315)"	"(236)"	"(470)"	"(9,208)"	"(3,896)"	"(2,931)"	"(2,053)"	"(3,965)"	25	"2015-04-01 12:42:47.695096"	"2015-04-01 12:42:47.695096"
10	"Pages"	"United States"	" Universal"	" Productivity"	" Jan 11, 2015"	" 265.2 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.Pages"	"3.4"	"462"	"3.6"	"23,933"	"(189)"	"(71)"	"(48)"	"(38)"	"(116)"	"(10,115)"	"(4,403)"	"(3,177)"	"(2,194)"	"(4,044)"	28	"2015-04-01 12:42:59.539473"	"2015-04-01 12:42:59.539473"
11	"Numbers"	"United States"	" Universal"	" Productivity"	" Jan 10, 2015"	" 232.2 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.Numbers"	"3.0"	"152"	"3.3"	"7,669"	"(56)"	"(13)"	"(15)"	"(16)"	"(52)"	"(2,881)"	"(1,116)"	"(940)"	"(913)"	"(1,819)"	31	"2015-04-01 12:43:16.164740"	"2015-04-01 12:43:16.164740"
12	"iTunes U"	"United States"	" Universal"	" Education"	" Mar 26, 2015"	" 28.7 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.itunesu"	"3.7"	"103"	"4.2"	"14,915"	"(56)"	"(11)"	"(8)"	"(10)"	"(18)"	"(9,121)"	"(2,983)"	"(907)"	"(723)"	"(1,181)"	34	"2015-04-01 12:43:27.922410"	"2015-04-01 12:43:27.922410"
13	"Keynote"	"United States"	" Universal"	" Productivity"	" Jan 10, 2015"	" 439.8 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.Keynote"	"3.7"	"206"	"3.7"	"8,171"	"(113)"	"(22)"	"(17)"	"(14)"	"(40)"	"(3,960)"	"(1,283)"	"(861)"	"(752)"	"(1,315)"	37	"2015-04-01 12:43:41.087609"	"2015-04-01 12:43:41.087609"
14	"GarageBand"	"United States"	" Universal"	" Music"	" Mar 07, 2015"	" 597.9 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.mobilegarageband"	"4.1"	"880"	"4.1"	"20,724"	"(523)"	"(143)"	"(63)"	"(46)"	"(105)"	"(12,746)"	"(3,019)"	"(1,680)"	"(1,123)"	"(2,156)"	40	"2015-04-01 12:43:52.707414"	"2015-04-01 12:43:52.707414"
15	"WhatsApp Messenger"	"United States"	" iPhone Only"	" Social Networking"	" Mar 20, 2015"	" 34.3 MB"	" WhatsApp Inc."	"Rated 4+"	" Requires iOS 4.3 or later. Compatible with iPhone. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" net.whatsapp.WhatsApp"	"4.4"	"2,551"	"4.3"	"147,937"	"(1,802)"	"(327)"	"(151)"	"(75)"	"(196)"	"(97,914)"	"(22,396)"	"(9,004)"	"(4,768)"	"(13,855)"	43	"2015-04-01 12:44:05.894701"	"2015-04-01 12:44:05.894701"
16	"Spotify Music"	"United States"	" Universal"	" Music"	" Apr 01, 2015"	" 64.6 MB"	" Spotify"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.spotify.client"	"4.8"	"4,697"	"4.7"	"508,324"	"(4,204)"	"(300)"	"(76)"	"(39)"	"(78)"	"(440,015)"	"(38,964)"	"(9,894)"	"(5,577)"	"(13,874)"	46	"2015-04-01 12:44:17.990061"	"2015-04-01 12:44:17.990061"
17	"Dubsmash"	"United States"	" iPhone, iPod touch"	" Entertainment"	" Mar 26, 2015"	" 18.5 MB"	" Mobile Motion GmbH"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.mobilemotion.dubsmash"	"4.7"	"278"	"4.5"	"1,925"	"(238)"	"(25)"	"(5)"	"(4)"	"(6)"	"(1,490)"	"(224)"	"(72)"	"(40)"	"(99)"	49	"2015-04-01 12:44:29.732186"	"2015-04-01 12:44:29.732186"
18	"Pinterest"	"United States"	" Universal"	" Social Networking"	" Mar 26, 2015"	" 41.8 MB"	" Pinterest, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" pinterest"	"4.2"	"2,831"	"4.6"	"914,244"	"(1,789)"	"(467)"	"(165)"	"(112)"	"(298)"	"(684,831)"	"(150,658)"	"(38,365)"	"(18,211)"	"(22,179)"	52	"2015-04-01 12:44:41.463918"	"2015-04-01 12:44:41.463918"
19	"Twitter"	"United States"	" Universal"	" Social Networking"	" Mar 28, 2015"	" 50.6 MB"	" Twitter, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.atebits.Tweetie2"	"3.5"	"403"	"3.6"	"304,237"	"(173)"	"(60)"	"(41)"	"(38)"	"(91)"	"(146,782)"	"(39,632)"	"(28,032)"	"(21,210)"	"(68,581)"	55	"2015-04-01 12:44:53.425792"	"2015-04-01 12:44:53.425792"
20	"Trivia Crack"	"United States"	" Universal"	" Games"	" Mar 31, 2015"	" 53.2 MB"	" Etermax"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.etermax.preguntados"	"4.5"	"1,104"	"4.5"	"303,197"	"(667)"	"(328)"	"(71)"	"(16)"	"(22)"	"(185,429)"	"(89,638)"	"(20,007)"	"(3,799)"	"(4,324)"	58	"2015-04-01 12:45:05.379618"	"2015-04-01 12:45:05.379618"
21	"Gmail - email from Google"	"United States"	" Universal"	" Productivity"	" Mar 26, 2015"	" 11.5 MB"	" Google, Inc."	"Rated 4+"	" Requires iOS 7.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.google.Gmail"	"4.1"	"1,068"	"4.1"	"96,553"	"(607)"	"(220)"	"(61)"	"(67)"	"(113)"	"(55,702)"	"(19,796)"	"(7,764)"	"(5,093)"	"(8,198)"	61	"2015-04-01 12:45:16.810097"	"2015-04-01 12:45:16.810097"
22	"Kik"	"United States"	" iPhone, iPod touch"	" Social Networking"	" Mar 27, 2015"	" 14.3 MB"	" Kik Interactive Inc."	"Rated 17+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.kik.chat"	"4.2"	"1,649"	"4.2"	"209,626"	"(1,029)"	"(295)"	"(138)"	"(65)"	"(122)"	"(126,854)"	"(37,848)"	"(18,326)"	"(8,952)"	"(17,646)"	64	"2015-04-01 12:45:28.455278"	"2015-04-01 12:45:28.455278"
23	"TIDAL"	"United States"	" Universal"	" Music"	" Mar 30, 2015"	" 25.6 MB"	" Aspiro Music AS"	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.aspiro.TIDAL"	"3.1"	"403"	"3.2"	"535"	"(168)"	"(26)"	"(35)"	"(27)"	"(147)"	"(227)"	"(46)"	"(52)"	"(38)"	"(172)"	67	"2015-04-01 12:45:45.464878"	"2015-04-01 12:45:45.464878"
24	"Netflix"	"United States"	" Universal"	" Entertainment"	" Mar 20, 2015"	" 27.3 MB"	" Netflix, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.netflix.Netflix"	"3.3"	"762"	"3.4"	"260,666"	"(315)"	"(81)"	"(91)"	"(83)"	"(192)"	"(112,860)"	"(34,217)"	"(27,157)"	"(24,190)"	"(62,242)"	70	"2015-04-01 12:45:59.984678"	"2015-04-01 12:45:59.984678"
25	"Google"	"United States"	" Universal"	" Utilities"	" Mar 26, 2015"	" 55.4 MB"	" Google, Inc."	"Rated 17+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.google.GoogleMobile"	"4.4"	"2,543"	"3.7"	"467,110"	"(1,899)"	"(261)"	"(94)"	"(105)"	"(184)"	"(224,509)"	"(66,745)"	"(63,681)"	"(39,993)"	"(72,182)"	73	"2015-04-01 12:46:11.826899"	"2015-04-01 12:46:11.826899"
26	"Mr Jump"	"United States"	" Universal"	" Games"	" Mar 31, 2015"	" 23.2 MB"	" 1Button SARL"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.1button.mrjump"	"4.5"	"12,432"	"4.5"	"12,432"	"(9,484)"	"(1,613)"	"(439)"	"(257)"	"(639)"	"(9,484)"	"(1,613)"	"(439)"	"(257)"	"(639)"	76	"2015-04-01 12:46:23.335169"	"2015-04-01 12:46:23.335169"
27	"Find My iPhone"	"United States"	" Universal"	" Utilities"	" Apr 01, 2015"	" 5.6 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.mobileme.fmip1"	"3.6"	"1,197"	"3.2"	"65,144"	"(635)"	"(107)"	"(106)"	"(85)"	"(264)"	"(28,438)"	"(5,401)"	"(5,099)"	"(4,837)"	"(21,369)"	79	"2015-04-01 12:46:35.070802"	"2015-04-01 12:46:35.070802"
28	"Flinch"	"United States"	" iPhone, iPod touch"	" Games"	" Mar 29, 2015"	" 16.9 MB"	" Spitfire Technologies LLC"	"Rated 4+"	" Requires iOS 7.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.spitfire.Flinch"	"3.0"	"526"	"3.0"	"580"	"(166)"	"(67)"	"(74)"	"(59)"	"(160)"	"(189)"	"(69)"	"(82)"	"(61)"	"(179)"	82	"2015-04-01 12:46:48.987810"	"2015-04-01 12:46:48.987810"
29	"Skype for iPhone"	"United States"	" iPhone, iPod touch"	" Social Networking"	" Apr 01, 2015"	" 60.7 MB"	" Skype Communications S.a.r.l"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.skype.skype"	"2.3"	"247"	"3.4"	"362,264"	"(48)"	"(12)"	"(27)"	"(33)"	"(127)"	"(149,670)"	"(44,591)"	"(44,838)"	"(31,128)"	"(92,037)"	85	"2015-04-01 12:47:01.167927"	"2015-04-01 12:47:01.167927"
30	"Candy Crush Soda Saga"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 51.7 MB"	" King.com Limited"	"Rated 4+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.midasplayer.apps.candycrushsodasaga"	"4.5"	"2,436"	"4.5"	"87,190"	"(1,671)"	"(497)"	"(138)"	"(60)"	"(70)"	"(59,617)"	"(17,601)"	"(4,874)"	"(2,043)"	"(3,055)"	88	"2015-04-01 12:47:12.912772"	"2015-04-01 12:47:12.912772"
31	"Free Music PLUS - MP3 Music Player"	"United States"	" Universal"	" Music"	" Mar 29, 2015"	" 17.1 MB"	" Amad Marwat"	"Rated 4+"	" Requires iOS 6.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" net.appfactor.scdownloadplus"	"4.0"	"80"	"3.9"	"134"	"(39)"	"(18)"	"(11)"	"(6)"	"(6)"	"(64)"	"(25)"	"(21)"	"(10)"	"(14)"	91	"2015-04-01 12:47:24.606034"	"2015-04-01 12:47:24.606034"
32	"Curio Quest"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 41.5 MB"	" 5th Planet Games Inc"	"Rated 12+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.5thplanetgames.pets"	"4.5"	"17"	"4.7"	"736"	"(12)"	"(4)"	"(0)"	"(0)"	"(1)"	"(612)"	"(81)"	"(23)"	"(6)"	"(14)"	94	"2015-04-01 12:47:39.816768"	"2015-04-01 12:47:39.816768"
33	"SoundCloud - Music & Audio"	"United States"	" Universal"	" Music"	" Apr 01, 2015"	" 16.4 MB"	" SoundCloud Ltd"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.soundcloud.TouchApp"	"3.7"	"3,481"	"3.8"	"64,091"	"(1,802)"	"(519)"	"(294)"	"(213)"	"(653)"	"(35,028)"	"(9,029)"	"(4,889)"	"(4,094)"	"(11,051)"	97	"2015-04-01 12:47:55.127844"	"2015-04-01 12:47:55.127844"
34	"Yahoo Mail - Free Email, News, Weather and more"	"United States"	" Universal"	" Productivity"	" Mar 26, 2015"	" 50.0 MB"	" Yahoo! Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.yahoo.Aerogram"	"3.9"	"918"	"3.9"	"47,497"	"(451)"	"(209)"	"(72)"	"(45)"	"(141)"	"(23,155)"	"(11,468)"	"(4,054)"	"(2,536)"	"(6,284)"	100	"2015-04-01 12:48:07.113433"	"2015-04-01 12:48:07.113433"
35	"Crossy Road - Endless Arcade Hopper"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 41.9 MB"	" Hipster Whale Pty Ltd"	"Rated 9+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.hipsterwhale.crossy"	"4.7"	"149,672"	"4.8"	"381,563"	"(123,560)"	"(16,300)"	"(5,008)"	"(2,270)"	"(2,534)"	"(322,414)"	"(38,773)"	"(10,787)"	"(4,355)"	"(5,234)"	103	"2015-04-01 12:48:20.895400"	"2015-04-01 12:48:20.895400"
36	"Comedy Central"	"United States"	" Universal"	" Entertainment"	" Mar 27, 2015"	" 21.9 MB"	" Viacom International Inc."	"Rated 17+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.mtvn.ccnetwork"	"2.1"	"166"	"3.0"	"1,507"	"(33)"	"(7)"	"(9)"	"(18)"	"(99)"	"(563)"	"(133)"	"(135)"	"(140)"	"(536)"	106	"2015-04-01 12:48:32.621870"	"2015-04-01 12:48:32.621870"
37	"Amazon App: shop, browse, scan, compare, and read reviews"	"United States"	" Universal"	" Lifestyle"	" Mar 24, 2015"	" 36.1 MB"	" AMZN Mobile LLC"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.amazon.Amazon"	"3.5"	"136"	"3.7"	"111,627"	"(65)"	"(14)"	"(12)"	"(8)"	"(37)"	"(46,977)"	"(22,151)"	"(19,341)"	"(9,797)"	"(13,361)"	109	"2015-04-01 12:48:46.072446"	"2015-04-01 12:48:46.072446"
38	"iHeartRadio: Free Music & Radio, Streaming AM & FM Stations, NPR, Podcasts, Playlists, Live News, & Sports"	"United States"	" iPhone, iPod touch"	" Music"	" Mar 26, 2015"	" 32.7 MB"	" iHeartMedia Management Services, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.clearchannel.iheartradio"	"4.6"	"883"	"3.5"	"231,654"	"(683)"	"(124)"	"(37)"	"(12)"	"(27)"	"(102,041)"	"(30,171)"	"(30,621)"	"(22,564)"	"(46,257)"	112	"2015-04-01 12:49:00.563851"	"2015-04-01 12:49:00.563851"
39	"Dictator: Outbreak"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 55.0 MB"	" TIGRIDO, INC."	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.tigrido.dictator.outbreak"	"3.6"	"1,113"	"3.8"	"5,920"	"(449)"	"(233)"	"(145)"	"(94)"	"(192)"	"(2,620)"	"(1,415)"	"(750)"	"(376)"	"(759)"	115	"2015-04-01 12:49:12.958180"	"2015-04-01 12:49:12.958180"
40	"ZigZag"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 23.4 MB"	" Ketchapp"	"Rated 4+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.ketchapp.zigzaggame"	"4.5"	"22,166"	"4.5"	"53,995"	"(16,422)"	"(2,974)"	"(1,245)"	"(591)"	"(934)"	"(39,040)"	"(7,414)"	"(3,343)"	"(1,466)"	"(2,732)"	118	"2015-04-01 12:49:24.504704"	"2015-04-01 12:49:24.504704"
41	"Uber"	"United States"	" iPhone, iPod touch"	" Travel"	" Mar 31, 2015"	" 44.7 MB"	" Uber Technologies, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.ubercab.UberClient"	"3.9"	"34"	"4.1"	"15,937"	"(22)"	"(2)"	"(0)"	"(3)"	"(7)"	"(11,278)"	"(956)"	"(421)"	"(528)"	"(2,754)"	121	"2015-04-01 12:49:36.716861"	"2015-04-01 12:49:36.716861"
42	"Clash of Clans"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 53.0 MB"	" Supercell Oy"	"Rated 9+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.supercell.magic"	"4.6"	"97,207"	"4.6"	"1,329,259"	"(77,828)"	"(9,708)"	"(4,372)"	"(2,452)"	"(2,847)"	"(1,062,191)"	"(141,908)"	"(50,276)"	"(26,805)"	"(48,079)"	124	"2015-04-01 12:49:51.121084"	"2015-04-01 12:49:51.121084"
43	"Subway Surfers"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 76.1 MB"	" Kiloo"	"Rated 9+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.kiloo.subwaysurfers"	"4.3"	"1,854"	"4.5"	"585,444"	"(1,278)"	"(237)"	"(133)"	"(89)"	"(117)"	"(436,919)"	"(72,161)"	"(32,642)"	"(18,576)"	"(25,146)"	127	"2015-04-01 12:50:04.315954"	"2015-04-01 12:50:04.315954"
44	"Periscope"	"United States"	" iPhone, iPod touch"	" Social Networking"	" Mar 27, 2015"	" 14.1 MB"	" Twitter, Inc."	"Rated 4+"	" Requires iOS 7.1 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.bountylabs.periscope"	"4.0"	"584"	"4.0"	"584"	"(328)"	"(100)"	"(51)"	"(30)"	"(75)"	"(328)"	"(100)"	"(51)"	"(30)"	"(75)"	130	"2015-04-01 12:50:15.720510"	"2015-04-01 12:50:15.720510"
45	"aa"	"United States"	" Universal"	" Games"	" Mar 29, 2015"	" 11.2 MB"	" General Adaptive Apps Pty Ltd"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.aagame.aagame"	"4.5"	"54"	"4.4"	"78,457"	"(40)"	"(7)"	"(4)"	"(2)"	"(1)"	"(54,992)"	"(11,549)"	"(5,591)"	"(2,722)"	"(3,603)"	133	"2015-04-01 12:50:28.108236"	"2015-04-01 12:50:28.108236"
46	"Stickman Rush"	"United States"	" Universal"	" Games"	" Mar 27, 2015"	" 14.1 MB"	" Ketchapp"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.ketchapp.stickmanrush"	"3.5"	"530"	"3.5"	"547"	"(245)"	"(69)"	"(50)"	"(43)"	"(123)"	"(253)"	"(70)"	"(50)"	"(45)"	"(129)"	136	"2015-04-01 12:50:40.302866"	"2015-04-01 12:50:40.302866"
47	"Kick the Buddy: Second Kick Free"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 66.6 MB"	" Crazylion Studios Limited"	"Rated 12+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.crustalli.ktbskfree"	"4.4"	"2,014"	"4.6"	"30,952"	"(1,500)"	"(200)"	"(116)"	"(57)"	"(141)"	"(24,548)"	"(3,301)"	"(1,490)"	"(685)"	"(928)"	139	"2015-04-01 12:50:52.031415"	"2015-04-01 12:50:52.031415"
48	"Waze Social GPS, Maps & Traffic"	"United States"	" Universal"	" Navigation"	" Mar 31, 2015"	" 49.7 MB"	" waze"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.waze.iphone"	"4.6"	"14,093"	"4.5"	"199,923"	"(10,961)"	"(2,067)"	"(381)"	"(234)"	"(450)"	"(147,852)"	"(31,368)"	"(7,623)"	"(4,821)"	"(8,259)"	142	"2015-04-01 12:51:04.203107"	"2015-04-01 12:51:04.203107"
49	"Free Music Play - MP3 Streamer and Playlist Manager"	"United States"	" Universal"	" Music"	" Mar 26, 2015"	" 17.7 MB"	" Eliza Li"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.rgamma.dfmsc"	"4.3"	"623"	"4.4"	"2,658"	"(436)"	"(58)"	"(52)"	"(30)"	"(47)"	"(1,964)"	"(251)"	"(167)"	"(85)"	"(191)"	145	"2015-04-01 12:51:15.961320"	"2015-04-01 12:51:15.961320"
