"id"	"name"	"country"	"compatibility"	"category"	"updated_date"	"size"	"seller"	"rated"	"requirements"	"bundleid"	"average_current"	"total_current"	"average_all"	"total_all"	"current1"	"current2"	"current3"	"current4"	"current5"	"all1"	"all2"	"all3"	"all4"	"all5"	"fullrank_id"	"created_at"	"updated_at"
182	"SimCity BuildIt"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 89.8 MB"	" EA Swiss Sarl"	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.ea.simcitymobile.bv"	"4.1"	"3,588"	"4.0"	"31,806"	"(2,111)"	"(616)"	"(299)"	"(197)"	"(365)"	"(18,044)"	"(5,286)"	"(2,709)"	"(1,867)"	"(3,900)"	544	"2015-04-01 13:14:05.596092"	"2015-04-01 13:14:05.596092"
183	"Perfect365 - One-Tap Makeover"	"United States"	" iPhone, iPod touch"	" Photo and Video"	" Mar 27, 2015"	" 45.7 MB"	" ArcSoft"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.arcsoft.Perfect365"	"4.6"	"64"	"4.4"	"14,646"	"(47)"	"(10)"	"(5)"	"(0)"	"(2)"	"(10,548)"	"(2,104)"	"(738)"	"(381)"	"(875)"	547	"2015-04-01 13:14:12.548658"	"2015-04-01 13:14:12.548658"
184	"1010!"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 40.0 MB"	" GG OYUN BILISIM YAZILIM VE PAZARLAMA A S"	"Rated 4+"	" Requires iOS 4.3 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.gramgames.1010"	"4.6"	"9,882"	"4.6"	"12,205"	"(7,359)"	"(1,519)"	"(585)"	"(232)"	"(187)"	"(9,053)"	"(1,876)"	"(745)"	"(297)"	"(234)"	550	"2015-04-01 13:14:19.128348"	"2015-04-01 13:14:19.128348"
185	"Countdown‼ (Event Reminders, Timer and Calendar Event Countdowns)"	"United States"	" Universal"	" Lifestyle"	" Mar 26, 2015"	" 41.5 MB"	" Sevenlogics, Inc."	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.sevenlogics.Countdown"	"4.3"	"8,768"	"4.2"	"54,716"	"(5,070)"	"(2,221)"	"(1,048)"	"(207)"	"(222)"	"(29,271)"	"(14,117)"	"(7,392)"	"(1,706)"	"(2,230)"	553	"2015-04-01 13:14:25.900010"	"2015-04-01 13:14:25.900010"
186	"Google Calendar"	"United States"	" iPhone, iPod touch"	" Productivity"	" Mar 11, 2015"	" 38.3 MB"	" Google, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.google.calendar"	"3.6"	"462"	"3.6"	"462"	"(162)"	"(99)"	"(105)"	"(51)"	"(45)"	"(162)"	"(99)"	"(105)"	"(51)"	"(45)"	556	"2015-04-01 13:14:32.553791"	"2015-04-01 13:14:32.553791"
187	"Text Free: Free Texting App and Free Calling App, Phone Number Included"	"United States"	" iPhone, iPod touch"	" Lifestyle"	" Mar 28, 2015"	" 54.6 MB"	" Pinger, Inc."	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.pinger.textfreeWithVoice"	"3.6"	"45"	"3.8"	"88,683"	"(25)"	"(2)"	"(4)"	"(5)"	"(9)"	"(47,675)"	"(10,704)"	"(8,934)"	"(5,699)"	"(15,671)"	559	"2015-04-01 13:14:39.397420"	"2015-04-01 13:14:39.397420"
188	"InstaCollage - Collage Maker & FX Editor  & Photo Editor FREE"	"United States"	" Universal"	" Entertainment"	" Mar 26, 2015"	" 40.1 MB"	" mobile click"	"Rated 4+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.click2mobile.collagegrameFree"	"4.7"	"1,399"	"4.6"	"79,905"	"(1,042)"	"(288)"	"(51)"	"(8)"	"(10)"	"(57,079)"	"(17,100)"	"(3,822)"	"(871)"	"(1,033)"	562	"2015-04-01 13:14:46.917337"	"2015-04-01 13:14:46.917337"
189	"Realtor.com Real Estate - Homes for Sale and Apartments for Rent"	"United States"	" Universal"	" Lifestyle"	" Mar 26, 2015"	" 29.5 MB"	" Move, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.move.Realtor"	"3.8"	"620"	"4.1"	"47,116"	"(257)"	"(160)"	"(62)"	"(73)"	"(68)"	"(24,975)"	"(11,808)"	"(4,307)"	"(2,406)"	"(3,620)"	565	"2015-04-01 13:14:54.164949"	"2015-04-01 13:14:54.164949"
190	"Call of Duty®: Heroes"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 93.0 MB"	" Activision Publishing, Inc."	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone 4, iPhone 4S, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.activision.callofduty.heroes"	"4.7"	"3,330"	"4.6"	"111,186"	"(2,650)"	"(500)"	"(122)"	"(23)"	"(35)"	"(82,973)"	"(20,530)"	"(5,288)"	"(972)"	"(1,423)"	568	"2015-04-01 13:15:01.391116"	"2015-04-01 13:15:01.391116"
191	"The Sims™ FreePlay"	"United States"	" Universal"	" Games"	" Mar 29, 2015"	" 446.4 MB"	" Electronic Arts Inc."	"Rated 12+"	" Requires iOS 5.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.ea.sims3deluxe.ipad.inc"	"4.5"	"6,219"	"4.2"	"285,593"	"(4,490)"	"(935)"	"(394)"	"(187)"	"(213)"	"(175,354)"	"(46,514)"	"(26,490)"	"(13,982)"	"(23,253)"	571	"2015-04-01 13:15:08.211399"	"2015-04-01 13:15:08.211399"
