"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
860	"paid"	287	"SKI TRACKS - GPS TRACK RECORDER"	"https://www.appannie.com/apps/ios/app/ski-tracks-gps-track-recorder/"	"2015-04-01 12:38:49.180012"	"2015-04-01 12:39:04.739778"
861	"grossing"	287	"Lord of the Dragons"	"https://www.appannie.com/apps/ios/app/lord-of-the-dragons/"	"2015-04-01 12:38:49.187402"	"2015-04-01 12:39:04.748153"
862	"free"	288	"Speedtest.net Mobile Speed Test"	"https://www.appannie.com/apps/ios/app/speedtestnet-mobile-speed-test/"	"2015-04-01 12:38:49.195498"	"2015-04-01 12:39:04.755557"
863	"paid"	288	"NFL Quarterback 15"	"https://www.appannie.com/apps/ios/app/nfl-quarterback-15/"	"2015-04-01 12:38:49.203319"	"2015-04-01 12:39:04.764085"
864	"grossing"	288	"Goat Simulator"	"https://www.appannie.com/apps/ios/app/goat-simulator/"	"2015-04-01 12:38:49.211716"	"2015-04-01 12:39:04.770610"
865	"free"	289	"Quizlet - Flashcards  Study Tools"	"https://www.appannie.com/apps/ios/app/quizlet-flashcards-study-tools/"	"2015-04-01 12:38:49.220156"	"2015-04-01 12:39:04.781260"
866	"paid"	289	"The Impossible Game"	"https://www.appannie.com/apps/ios/app/367242040/"	"2015-04-01 12:38:49.233292"	"2015-04-01 12:39:04.790772"
867	"grossing"	289	"Secret Passages: Hidden Objects"	"https://www.appannie.com/apps/ios/app/secret-passages-hidden-objects/"	"2015-04-01 12:38:49.242683"	"2015-04-01 12:39:04.798884"
868	"free"	290	"Text Me! - Free Texting + Free Phone Calls + Free Video Call"	"https://www.appannie.com/apps/ios/app/text-me-free-texting-free-phone-calls-free-video-call/"	"2015-04-01 12:38:49.252115"	"2015-04-01 12:39:04.808634"
869	"paid"	290	"Voice Translate Pro"	"https://www.appannie.com/apps/ios/app/voice-translate-pro/"	"2015-04-01 12:38:49.260723"	"2015-04-01 12:39:04.817463"
870	"grossing"	290	"Get Followers for Instagram - Gain More Real Instagram Followers and Likes (Free App to Download)"	"https://www.appannie.com/apps/ios/app/get-followers-for-instagram-gain-more-real-instagram-followers-and-likes-free-app-to-download/"	"2015-04-01 12:38:49.293682"	"2015-04-01 12:39:04.825997"
871	"free"	291	"ProTuber - Best Music  Video Player for YouTube"	"https://www.appannie.com/apps/ios/app/protuber-best-music-video/"	"2015-04-01 12:38:49.303980"	"2015-04-01 12:39:04.837018"
872	"paid"	291	"Pts. Plus Diary, Weight Goal Watchers and Calculator"	"https://www.appannie.com/apps/ios/app/pts-plus-diary-weight-goal-watchers-and-calculator/"	"2015-04-01 12:38:49.314892"	"2015-04-01 12:39:04.845348"
873	"grossing"	291	"Galaxy Legend"	"https://www.appannie.com/apps/ios/app/galaxy-legend/"	"2015-04-01 12:38:49.324677"	"2015-04-01 12:39:04.856340"
874	"free"	292	"FIFA 15 Ultimate Team by EA SPORTS"	"https://www.appannie.com/apps/ios/app/fifa-15-ultimate-team-by-ea/"	"2015-04-01 12:38:49.332615"	"2015-04-01 12:39:04.865437"
875	"paid"	292	"Pho.to Lab PRO HD editor: drawing effects, art filters, cards  frames"	"https://www.appannie.com/apps/ios/app/photo-lab-pro-hd-editor-drawing-effects-art-filters-cards-frames/"	"2015-04-01 12:38:49.341401"	"2015-04-01 12:39:04.874474"
876	"grossing"	292	"True Skate"	"https://www.appannie.com/apps/ios/app/true-skate/"	"2015-04-01 12:38:49.350150"	"2015-04-01 12:39:04.884782"
877	"free"	293	"Pixel Gun 3D"	"https://www.appannie.com/apps/ios/app/pixel-gun-3d/"	"2015-04-01 12:38:49.359466"	"2015-04-01 12:39:04.894433"
878	"paid"	293	"iTrans NYC Subway"	"https://www.appannie.com/apps/ios/app/itrans-nyc-subway/"	"2015-04-01 12:38:49.370176"	"2015-04-01 12:39:04.903444"
879	"grossing"	293	"Bible+"	"https://www.appannie.com/apps/ios/app/332615624/"	"2015-04-01 12:38:49.380231"	"2015-04-01 12:39:04.913519"
880	"free"	294	"Spring Ninja"	"https://www.appannie.com/apps/ios/app/spring-ninja/"	"2015-04-01 12:38:49.388880"	"2015-04-01 12:39:04.923185"
