"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
63	"grossing"	21	"Cookie Jam"	"http://www.appannie.com/apps/ios/app/cookie-jam/"	"2015-03-31 17:34:18.770978"	"2015-03-31 17:34:22.239222"
64	"free"	22	"Kik"	"http://www.appannie.com/apps/ios/app/357218860/"	"2015-03-31 17:34:18.782066"	"2015-03-31 17:34:22.249214"
65	"paid"	22	"Scholly: Scholarship Search"	"http://www.appannie.com/apps/ios/app/scholly-scholarship-search/"	"2015-03-31 17:34:18.791779"	"2015-03-31 17:34:22.258306"
66	"grossing"	22	"8 Ball Pool™"	"http://www.appannie.com/apps/ios/app/8-ball-pooltm/"	"2015-03-31 17:34:18.801205"	"2015-03-31 17:34:22.269154"
67	"free"	23	"Gmail - email from Google"	"http://www.appannie.com/apps/ios/app/gmail-email-from-google/"	"2015-03-31 17:34:18.809914"	"2015-03-31 17:34:22.278271"
68	"paid"	23	"Color Splash"	"http://www.appannie.com/apps/ios/app/color-splash/"	"2015-03-31 17:34:18.818262"	"2015-03-31 17:34:22.288577"
69	"grossing"	23	"SimCity BuildIt"	"http://www.appannie.com/apps/ios/app/simcity-buildit/"	"2015-03-31 17:34:18.828401"	"2015-03-31 17:34:22.297431"
70	"free"	24	"TIDAL"	"http://www.appannie.com/apps/ios/app/913943275/"	"2015-03-31 17:34:18.855155"	"2015-03-31 17:34:22.305850"
71	"paid"	24	"Terraria"	"http://www.appannie.com/apps/ios/app/640364616/"	"2015-03-31 17:34:18.864184"	"2015-03-31 17:34:22.317258"
72	"grossing"	24	"Family Guy: The Quest for Stuff"	"http://www.appannie.com/apps/ios/app/838500730/"	"2015-03-31 17:34:18.872251"	"2015-03-31 17:34:22.327324"
73	"free"	25	"Google"	"http://www.appannie.com/apps/ios/app/284815942/"	"2015-03-31 17:34:18.882062"	"2015-03-31 17:34:22.336642"
74	"paid"	25	"Emoji ;)"	"http://www.appannie.com/apps/ios/app/506462353/"	"2015-03-31 17:34:18.891348"	"2015-03-31 17:34:22.345817"
75	"grossing"	25	"Pet Rescue Saga"	"http://www.appannie.com/apps/ios/app/pet-rescue-saga/"	"2015-03-31 17:34:18.900849"	"2015-03-31 17:34:22.355885"
76	"free"	26	"Mr Jump"	"http://www.appannie.com/apps/ios/app/955157084/"	"2015-03-31 17:34:18.909767"	"2015-03-31 17:34:22.367234"
77	"paid"	26	"MONOPOLY Game"	"http://www.appannie.com/apps/ios/app/337021781/"	"2015-03-31 17:34:18.920020"	"2015-03-31 17:34:22.377816"
78	"grossing"	26	"The Sims™ FreePlay"	"http://www.appannie.com/apps/ios/app/the-simstm-freeplay/"	"2015-03-31 17:34:18.931965"	"2015-03-31 17:34:22.387585"
79	"free"	27	"Find My iPhone"	"http://www.appannie.com/apps/ios/app/find-my-iphone/"	"2015-03-31 17:34:18.941432"	"2015-03-31 17:34:22.397685"
80	"paid"	27	"My Baby's Beat - Hear baby heartbeat sound"	"http://www.appannie.com/apps/ios/app/my-babys-beat-hear-baby-heartbeat-sound/"	"2015-03-31 17:34:18.951176"	"2015-03-31 17:34:22.410528"
81	"grossing"	27	"FarmVille 2: Country Escape"	"http://www.appannie.com/apps/ios/app/farmville-2-country-escape/"	"2015-03-31 17:34:18.960253"	"2015-03-31 17:34:22.421734"
82	"free"	28	"Skype for iPhone"	"http://www.appannie.com/apps/ios/app/skype-for-iphone/"	"2015-03-31 17:34:18.970268"	"2015-03-31 17:34:22.431989"
83	"paid"	28	"Emoji Keypad - New Emojis and Color Keyboard for iOS 8"	"http://www.appannie.com/apps/ios/app/emoji-keypad-new-emojis-and-color-keyboard-for-ios-8/"	"2015-03-31 17:34:18.980794"	"2015-03-31 17:34:22.441607"
84	"grossing"	28	"Gummy Drop! Best Free Candy Match 3 Puzzle Game!"	"http://www.appannie.com/apps/ios/app/gummy-drop-best-free-candy-match-3-puzzle-game/"	"2015-03-31 17:34:19.015887"	"2015-03-31 17:34:22.451578"
85	"free"	29	"Curio Quest"	"http://www.appannie.com/apps/ios/app/curio-quest/"	"2015-03-31 17:34:19.025832"	"2015-03-31 17:34:22.463112"
86	"paid"	29	"HotSchedules"	"http://www.appannie.com/apps/ios/app/hotschedules/"	"2015-03-31 17:34:19.036446"	"2015-03-31 17:34:22.474356"
87	"grossing"	29	"Minecraft – Pocket Edition"	"http://www.appannie.com/apps/ios/app/minecraft-pocket-edition/"	"2015-03-31 17:34:19.044307"	"2015-03-31 17:34:22.483771"
88	"free"	30	"Candy Crush Soda Saga"	"http://www.appannie.com/apps/ios/app/candy-crush-soda-saga/"	"2015-03-31 17:34:19.053520"	"2015-03-31 17:34:22.494163"
89	"paid"	30	"Akinator the Genie"	"http://www.appannie.com/apps/ios/app/akinator-the-genie/"	"2015-03-31 17:34:19.062096"	"2015-03-31 17:34:22.505042"
90	"grossing"	30	"Skype for iPhone"	"http://www.appannie.com/apps/ios/app/skype-for-iphone/"	"2015-03-31 17:34:19.070943"	"2015-03-31 17:34:22.516154"
91	"free"	31	"Flinch"	"http://www.appannie.com/apps/ios/app/flinch/"	"2015-03-31 17:34:19.079773"	"2015-03-31 17:34:22.525678"
92	"paid"	31	"Ultimate Guitar Tabs - largest catalog of songs with guitar and ukulele chords, tabs, lyrics and guitar lessons"	"http://www.appannie.com/apps/ios/app/ultimate-guitar-tabs-largest-catalog-of-songs-with-guitar-and-ukulele-chords-tabs-lyrics-and-guitar-lessons/"	"2015-03-31 17:34:19.088329"	"2015-03-31 17:34:22.536650"
